formula,Crystal System,band_gap_calculated (eV)
InH12(NF2)3,Monoclinic,5.5754
KHSO4,Orthorhombic,5.5753
Al2H16S3O20,Monoclinic,5.574
Nd2H16S3O20,Monoclinic,5.5734
AlSiHO4,Monoclinic,5.5719
Mg3H2(SO5)2,Tetragonal,5.571
Al4P3(HO5)3,Monoclinic,5.5706
H3SNO3,Orthorhombic,5.5698
BaBe2Si2O7,Orthorhombic,5.5695
CsPr(PO3)4,Monoclinic,5.5689
AlH15(NF)6,Orthorhombic,5.5677
KEr(PO3)4,Orthorhombic,5.5675
Al2B3HO8,Orthorhombic,5.5664
LiH2ClO5,Monoclinic,5.565
CsHSO4,Monoclinic,5.5644
Ba12Br3Cl2F19,Orthorhombic,5.5636
NdHSO5,Monoclinic,5.5634
CaZrTlF7,Orthorhombic,5.5631
BaMgP2O7,Monoclinic,5.5594
KRb2InF6,Monoclinic,5.5594
CaB4(H10N)2,Orthorhombic,5.5566
CaB2(H2O3)2,Monoclinic,5.5553
ErP4HO12,Monoclinic,5.5546
RbNd(PO3)4,Monoclinic,5.5509
SrCaMg6O8,Tetragonal,5.5506
CsEr(PO3)4,Monoclinic,5.548
NaZn(BH4)3,Monoclinic,5.5472
K2Be2PbF8,Trigonal,5.547
MgBHO3,Monoclinic,5.5459
NaP(HO)6,Orthorhombic,5.5455
DyAl3(BO3)4,Trigonal,5.5431
Er2H16S3O20,Monoclinic,5.5412
KAl(SO4)2,Trigonal,5.5409
NaMg14BO16,Orthorhombic,5.5402
CsRb2GaF6,Cubic,5.5393
NaNd(SO4)2,Triclinic,5.5386
NaLiSO4,Trigonal,5.5384
Sm3B2(O2F)3,Monoclinic,5.5384
Ca2B5H3O11,Monoclinic,5.5382
CaB2(H2O3)2,Monoclinic,5.5377
AlB3(H5N)6,Orthorhombic,5.5355
KLiSO4,Orthorhombic,5.5354
MgP2H12O11,Triclinic,5.5343
CaP2(H2O3)3,Triclinic,5.5328
CaHfTlF7,Orthorhombic,5.5318
TaCdBF10,Monoclinic,5.531
H3CO2F,Orthorhombic,5.5308
CsK(ClO4)2,Trigonal,5.5307
RbHSO4,Monoclinic,5.5303
TbHSO5,Monoclinic,5.5302
AlP2H5O9,Monoclinic,5.5286
MgBeAl4O8,Hexagonal,5.5286
CsP2H5O8,Monoclinic,5.5274
YHSO5,Monoclinic,5.5269
Li2B3PO8,Triclinic,5.5266
ZnB2(CN)8,Trigonal,5.5259
MgSi(HO)6,Monoclinic,5.5255
BaCaP2O7,Monoclinic,5.525
CaB3H5O8,Monoclinic,5.5246
B3H4NO5,Monoclinic,5.5239
BaSi2(BO4)2,Orthorhombic,5.5233
MgH4(ClO4)2,Monoclinic,5.5225
KTl(CN)4,Tetragonal,5.5212
NaP(HO2)2,Monoclinic,5.521
CsY(PO3)4,Monoclinic,5.5193
Cs2RbSiF7,Orthorhombic,5.5149
Ca5P3O12F,Hexagonal,5.5148
TbAl3(BO3)4,Trigonal,5.5144
Rb2Ca2(SO4)3,Cubic,5.5135
H21C6N2Cl3,Monoclinic,5.5133
CsP2H5O8,Triclinic,5.5122
LiAl(SiO3)2,Monoclinic,5.5106
Na2Si(S2O7)3,Orthorhombic,5.5087
K2B6H2O11,Monoclinic,5.5078
MgH4S2O9,Monoclinic,5.5077
PH6NO4,Tetragonal,5.5064
RbTb(PO3)4,Monoclinic,5.5062
RbHo(PO3)4,Monoclinic,5.5048
NaSiBO4,Hexagonal,5.5035
CsSm(PO3)4,Monoclinic,5.5031
KBe2B3O7,Monoclinic,5.5029
CsP2H5O8,Monoclinic,5.5028
MgH2SO5,Monoclinic,5.5024
RbHSO4,Monoclinic,5.5011
KAl(SO4)2,Trigonal,5.4996
H3SO4F,Orthorhombic,5.4991
Ca5P3O12F,Hexagonal,5.4989
Tb2H16S3O20,Monoclinic,5.4981
NaHSO4,Monoclinic,5.4977
H4NClO5,Orthorhombic,5.4967
BaBPO5,Trigonal,5.4963
BaBPO5,Trigonal,5.495
Cs2NaLuCl6,Cubic,5.494
KEr(PO3)4,Monoclinic,5.494
KLi(PO3)2,Monoclinic,5.4938
