formula,Crystal System,band_gap_calculated (eV)
Al5Co2,Hexagonal,0
Al5Mo,Hexagonal,0
Al5Mo,Trigonal,0
Al5O8,Cubic,0
Al5O8,Hexagonal,0
Al5Re24,Cubic,0
Al5Rh2,Hexagonal,0
Al5S8,Cubic,0
Al5Se8,Cubic,0
Al5W,Hexagonal,0
Al6Fe,Orthorhombic,0
Al6Ge5,Trigonal,0.4901
Al6Re,Orthorhombic,0
Al6Ru,Orthorhombic,0
Al6Tc,Orthorhombic,0
Al7Te10,Trigonal,1.0799
Al8Cr5,Trigonal,0
Al8Fe5,Cubic,0
Al8Mo3,Monoclinic,0
Al8O3,Triclinic,0
Al8V5,Cubic,0
Al8V5,Monoclinic,0
Al9Co2,Monoclinic,0
Al9Fe2,Monoclinic,0
Al9Ir2,Monoclinic,0
Al9Rh2,Monoclinic,0
AlAg,Hexagonal,0
AlAg2,Orthorhombic,0
AlAg3,Orthorhombic,0
AlAg3,Trigonal,0
AlAg4,Trigonal,0
AlAs,Cubic,0.897833333
AlAs,Hexagonal,0.8435
AlAs,Tetragonal,0
AlAs2,Orthorhombic,0
AlAu,Cubic,0
AlAu,Monoclinic,0
AlAu2,Orthorhombic,0
AlAu2,Tetragonal,0
AlAu3,Hexagonal,0
AlAu4,Cubic,0
AlAu4,Monoclinic,0
AlB2,Hexagonal,0
AlBi,Cubic,0
AlBi3,Cubic,0
AlBr3,Monoclinic,4.0992
AlBr4,Cubic,0
AlC,Monoclinic,0
AlC3,Cubic,0
AlC6,Cubic,0
AlCd3,Tetragonal,0
AlCl3,Monoclinic,5.263
AlCl3,Trigonal,0
AlCo,Cubic,0
AlCo3,Cubic,0
AlCo3,Hexagonal,0
AlCo4,Trigonal,0
AlCr2,Orthorhombic,0
AlCr2,Tetragonal,0
AlCu,Cubic,0
AlCu,Monoclinic,0
AlCu3,Cubic,0
AlCu3,Hexagonal,0
AlCu3,Orthorhombic,0
AlCu4,Cubic,0
AlF3,Cubic,7.4203
AlF3,Monoclinic,7.4706
AlF3,Orthorhombic,7.4854
AlF3,Tetragonal,7.4101
AlF3,Triclinic,6.19422
AlF3,Trigonal,7.51345
AlFe,Cubic,0
AlFe,Hexagonal,0
