formula,Crystal System,band_gap_calculated (eV)
AlAg3,Orthorhombic,0
AlAg3,Trigonal,0
AlAg4,Trigonal,0
AlAs,Cubic,0.897833333
AlAs,Hexagonal,0.8435
AlAs,Tetragonal,0
AlAs2,Orthorhombic,0
AlAu,Cubic,0
AlAu,Monoclinic,0
AlAu2,Orthorhombic,0
AlAu2,Tetragonal,0
AlAu3,Hexagonal,0
AlAu4,Cubic,0
AlAu4,Monoclinic,0
AlB2,Hexagonal,0
AlBi,Cubic,0
AlBi3,Cubic,0
AlBr3,Monoclinic,4.0992
AlBr4,Cubic,0
AlC,Monoclinic,0
AlC3,Cubic,0
AlC6,Cubic,0
AlCd3,Tetragonal,0
AlCl3,Monoclinic,5.263
AlCl3,Trigonal,0
AlCo,Cubic,0
AlCo3,Cubic,0
AlCo3,Hexagonal,0
AlCo4,Trigonal,0
AlCr2,Orthorhombic,0
AlCr2,Tetragonal,0
AlCu,Cubic,0
AlCu,Monoclinic,0
AlCu3,Cubic,0
AlCu3,Hexagonal,0
AlCu3,Orthorhombic,0
AlCu4,Cubic,0
AlF3,Cubic,7.4203
AlF3,Monoclinic,7.4706
AlF3,Orthorhombic,7.4854
AlF3,Tetragonal,7.4101
AlF3,Triclinic,6.19422
AlF3,Trigonal,7.51345
AlFe,Cubic,0
AlFe,Hexagonal,0
AlFe2,Cubic,0
AlFe2,Hexagonal,0
AlFe3,Cubic,0
AlFe3,Orthorhombic,0
AlFe4,Orthorhombic,0
AlGa3,Tetragonal,0
AlGe3,Tetragonal,0
AlH12,Cubic,0
AlH3,Cubic,3.1107
AlH3,Orthorhombic,3.1155
AlH3,Trigonal,2.1977
AlH6,Monoclinic,0
AlI3,Monoclinic,3.2639
AlIr,Cubic,0
AlMo3,Cubic,0
AlN,Cubic,3.86155
AlN,Hexagonal,3.6577
AlNi,Cubic,0
AlNi,Monoclinic,0
AlNi,Tetragonal,0
AlNi2,Trigonal,0
AlNi3,Cubic,0
AlNi3,Hexagonal,0
AlO,Cubic,0
AlO2,Orthorhombic,0.3056
AlO3,Monoclinic,0.580425
AlO3,Orthorhombic,0
AlO3,Triclinic,0
AlO3,Trigonal,0
AlOs,Cubic,0
AlP,Cubic,1.6294
AlP,Hexagonal,1.9533
AlP,Tetragonal,2.3944
AlP2,Orthorhombic,0
AlPb3,Hexagonal,0
AlPb3,Tetragonal,0
AlPd,Cubic,0
AlPd,Trigonal,0
AlPd2,Orthorhombic,0
AlPd3,Cubic,0
AlPd5,Orthorhombic,0
AlPt,Cubic,0
AlPt2,Orthorhombic,0
AlPt3,Cubic,0
AlPt3,Tetragonal,0
AlRe,Cubic,0
AlRe,Tetragonal,0
AlRe2,Tetragonal,0
AlRh,Cubic,0
AlRh3,Hexagonal,0
AlRu,Cubic,0
AlSb,Cubic,1.0004
AlSb,Hexagonal,0.9179
AlSb,Orthorhombic,0
AlSb,Tetragonal,0
AlSi,Cubic,0
AlSn,Hexagonal,0
AlTc2,Tetragonal,0
AlTc3,Hexagonal,0
AlV,Orthorhombic,0
AlV2,Orthorhombic,0
AlV3,Cubic,0
AlV3,Orthorhombic,0
As12S13,Triclinic,0.4861
As16S17,Triclinic,1.9747
As24S25,Triclinic,0.0824
As2Ir,Monoclinic,0.8155
As2O3,Cubic,4.0234
As2O3,Monoclinic,3.330257143
As2O3,Orthorhombic,3.0503
As2O3,Tetragonal,3.6287
As2O5,Orthorhombic,1.426
As2O5,Tetragonal,1.49695
As2O9,Monoclinic,0
As2Os,Orthorhombic,0.6647
As2Pd,Cubic,0
As2Pd5,Hexagonal,0
As2Pt,Cubic,0.0785
As2Rh,Monoclinic,0.2625
As2Ru,Orthorhombic,0.4492
As2S,Tetragonal,0
As2S3,Monoclinic,2.0989
As2S3,Triclinic,1.9873
As2Se,Tetragonal,0
As2Se3,Monoclinic,1.02345
As2W,Monoclinic,0
As3Ir,Cubic,0.0268
As3Rh,Cubic,0
As3W,Cubic,0
As3W,Hexagonal,0
As3W2,Monoclinic,0
As4C3,Cubic,0
As4S3,Orthorhombic,2.27435
As4S5,Monoclinic,1.997
As4Se3,Orthorhombic,1.6129
As7Rh12,Trigonal,0
As8S9,Monoclinic,1.7164
As8S9,Triclinic,0.0495
AsAu3,Hexagonal,0
AsBr3,Orthorhombic,3.1271
AsCl3,Orthorhombic,3.9873
AsCl5,Orthorhombic,1.4376
AsF3,Orthorhombic,5.36
AsF5,Hexagonal,4.6002
AsH3,Cubic,0
AsI3,Trigonal,2.2375
AsN9,Monoclinic,3.1971
AsO2,Monoclinic,0.076
AsO2,Orthorhombic,3.3759
AsO3,Cubic,0.1506
AsP,Monoclinic,0.4582
AsP,Trigonal,0
AsPb3,Hexagonal,0
AsPd2,Hexagonal,0
AsPd2,Orthorhombic,0
AsPd3,Tetragonal,0
AsPd4,Tetragonal,0
AsPd5,Monoclinic,0
AsPt3,Cubic,0
AsPt3,Hexagonal,0
AsRh,Orthorhombic,0
AsRh2,Cubic,0
